...1,Label,Area,Mean,Min,Max,IntDen,RawIntDen
808,MAX_20220729_Mdr_GFP_lac_GD_L6_S3L_C1.tif,2.767,255,255,255,705.681,167025
809,MAX_20220729_Mdr_GFP_lac_GD_L6_S3L_C1.tif,203.704,254.831,0,255,51910.085,12286410
810,MAX_20220729_Mdr_GFP_lac_GD_L6_S3L_C3.tif,49.986,253.815,0,255,12687.169,3002880
811,MAX_20220729_Mdr_GFP_lac_GD_L6_S3L_C3.tif,3.156,255,255,255,804.799,190485
812,MAX_20220729_Mdr_GFP_lac_GD_L6_S3L_C3.tif,7.352,202.828,0,255,1491.087,352920
813,MAX_20220729_Mdr_GFP_lac_GD_L6_S3L_C3.tif,2.755,255,255,255,702.449,166260
814,MAX_20220729_Mdr_GFP_lac_GD_L6_S3L_C3.tif,413.822,242.935,0,255,100532.021,23794560
815,MAX_20220729_Mdr_GFP_lac_GD_L6_S3L_C3.tif,2.096,255,255,255,534.378,126480
816,MAX_20220729_Mdr_GFP_lac_GD_L6_S3L_C3.tif,7.318,255,255,255,1866.014,441660
817,MAX_20220729_Mdr_GFP_lac_GD_L6_S3L_C3.tif,7.377,254.854,0,255,1880.019,444975
818,MAX_20220729_Mdr_GFP_lac_GD_L6_S3L_C3.tif,15.455,255,255,255,3941.038,932790
819,MAX_20220729_Mdr_GFP_lac_GD_L6_S3L_C3.tif,14.809,254.927,0,255,3775.122,893520
820,MAX_20220729_Mdr_GFP_lac_GD_L6_S3R_C1.tif,178.887,249.881,0,255,44700.291,10579950
821,MAX_20220729_Mdr_GFP_lac_GD_L6_S3R_C1.tif,3.921,255,255,255,999.804,236640
822,MAX_20220729_Mdr_GFP_lac_GD_L6_S3R_C1.tif,201.473,242.722,0,255,48902.054,11574450
823,MAX_20220729_Mdr_GFP_lac_GD_L6_S3R_C3.tif,18.058,252.494,0,255,4559.451,1079160
824,MAX_20220729_Mdr_GFP_lac_GD_L6_S3R_C3.tif,525.675,249.304,0,255,131052.979,31018455
825,MAX_20220729_Mdr_GFP_lac_GD_L6_S3R_C3.tif,2.087,255,255,255,532.223,125970
826,MAX_20220729_Mdr_GFP_lac_GD_L6_S3R_C3.tif,3.929,248.145,0,255,975.024,230775
827,MAX_20220729_Mdr_GFP_lac_GD_L6_S3R_C3.tif,6.883,252.652,0,255,1738.883,411570
828,MAX_20220729_Mdr_GFP_lac_GD_L6_S3R_C3.tif,31.937,253.684,0,255,8101.86,1917600
829,MAX_20220729_Mdr_GFP_lac_GD_L6_S3R_C3.tif,9.194,241.641,0,255,2221.547,525810
830,MAX_20220729_Mdr_GFP_lac_GD_L6_S4L_C1.tif,117.214,254.908,0,255,29878.842,7071915
831,MAX_20220729_Mdr_GFP_lac_GD_L6_S4L_C3.tif,344.076,254.321,0,255,87505.479,20711355
832,MAX_20220729_Mdr_GFP_lac_GD_L6_S4L_C3.tif,4.081,255,255,255,1040.744,246330
833,MAX_20220729_Mdr_GFP_lac_GD_L6_S4R_C1.tif,95.975,252.137,0,255,24198.921,5727555
834,MAX_20220729_Mdr_GFP_lac_GD_L6_S4R_C3.tif,374.377,246.629,0,255,92332.119,21853755
835,MAX_20220729_Mdr_GFP_lac_GD_L6_S5L_C1.tif,97.817,254.989,0,255,24942.31,5903505
836,MAX_20220729_Mdr_GFP_lac_GD_L6_S5L_C3.tif,284.364,229.756,0,255,65334.178,15463710
837,MAX_20220729_Mdr_GFP_lac_GD_L6_S5L_C3.tif,4.369,245.135,0,255,1070.911,253470
838,MAX_20220729_Mdr_GFP_lac_GD_L6_S5R_C1.tif,50.683,255,255,255,12924.191,3058980
839,MAX_20220729_Mdr_GFP_lac_GD_L6_S5R_C3.tif,213.709,254.834,0,255,54460.232,12889995
840,MAX_20220729_Mdr_GFP_lac_GD_L6_S5R_C3.tif,2.996,255,255,255,763.859,180795
