...1,Label,Area,Mean,Min,Max,IntDen,RawIntDen
454,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S2L_C3.tif,10.812,254.103,0,255,2747.306,650250
455,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S2L_C3.tif,2.725,254.209,0,255,692.752,163965
456,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S2R_C1.tif,182.883,251.395,0,255,45975.903,10881870
457,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S2R_C1.tif,264.73,242.547,0,255,64209.398,15197490
458,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S2R_C1.tif,6.828,245.848,0,255,1678.55,397290
459,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S2R_C3.tif,618.308,249.379,0,255,154192.84,36495345
460,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S2R_C3.tif,3.764,253.283,0,255,953.477,225675
461,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S3L_C1.tif,115.292,253.103,0,255,29180.703,6906675
462,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S3L_C1.tif,3.883,253.89,0,255,985.798,233325
463,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S3L_C1.tif,231.593,251.39,0,255,58220.271,13779945
464,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S3L_C1.tif,2.18,255,255,255,555.926,131580
465,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S3L_C3.tif,239.777,247.811,0,255,59419.389,14063760
466,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S3L_C3.tif,2.497,255,255,255,636.729,150705
467,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S3L_C3.tif,3.194,255,255,255,814.496,192780
468,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S3L_C3.tif,344.067,231.396,0,255,79615.862,18843990
469,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S4L_C1.tif,171.712,249.083,0,255,42770.712,10123245
470,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S4L_C1.tif,3.236,255,255,255,825.269,195330
471,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S4L_C1.tif,11.851,254.455,0,255,3015.573,713745
472,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S4L_C3.tif,420.573,250.056,0,255,105166.889,24891570
473,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S4L_C3.tif,6.405,254.832,0,255,1632.223,386325
474,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S4L_C3.tif,3.917,255,255,255,998.727,236385
475,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S5L_C1.tif,2.641,255,255,255,673.359,159375
476,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S5L_C1.tif,57.523,252.191,0,255,14506.855,3433575
477,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S5L_C3.tif,268.727,254.856,0,255,68486.577,16209840
478,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L1_S5L_C3.tif,2.113,254.49,0,255,537.61,127245
479,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L2_S2L_C1.tif,15.096,250.361,0,255,3779.432,894540
480,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L2_S2L_C1.tif,432.674,252.52,0,255,109258.759,25860060
481,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L2_S2L_C1.tif,4.859,255,255,255,1238.981,293250
482,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L2_S2L_C1.tif,2.412,255,255,255,615.181,145605
483,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L2_S2L_C1.tif,2.983,255,255,255,760.627,180030
484,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L2_S2L_C3.tif,830.741,238.118,0,255,197814.679,46820040
485,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L2_S2R_C1.tif,6.13,255,255,255,1563.271,370005
486,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L2_S2R_C1.tif,377.622,251.468,0,255,94959.837,22475700
487,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L2_S2R_C1.tif,2.341,254.54,0,255,595.788,141015
488,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L2_S2R_C1.tif,4.115,255,255,255,1049.363,248370
489,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L2_S2R_C1.tif,8.319,251.633,0,255,2093.34,495465
490,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L2_S2R_C1.tif,3.181,255,255,255,811.263,192015
491,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L2_S2R_C1.tif,2.881,255,255,255,734.77,173910
492,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L2_S2R_C3.tif,8.327,255,255,255,2123.506,502605
493,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L2_S2R_C3.tif,711.942,241.082,0,255,171636.62,40624050
494,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L2_S3L_C1.tif,22.705,254.715,0,255,5783.349,1368840
495,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L2_S3L_C1.tif,3.541,255,255,255,902.84,213690
496,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L2_S3L_C1.tif,39.609,254.755,0,255,10090.695,2388330
497,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L2_S3L_C1.tif,2.227,255,255,255,567.777,134385
498,MAX_20221220_Repo_Gal4_cd8_GFP_GD_L2_S3L_C1.tif,66.793,244.209,0,255,16311.458,3860700
